Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
R. Cota,Rodolfo Cota,GK,34,76,1280,0,6.243344958855028,-6.2433449588548955,-12.051617992790497,0.0014804084710179468,0.009362414170428096
M. Borjan,Milan Borjan,GK,34,77,1360,0,6.1970525535496925,-6.19705255354956,-11.95865670225937,8.787342369280447e-4,0.0054686018651467225
L. Négo,Loïc Négo,RM,31,72,1926,0,6.19156072985697,-6.191560729856789,-11.949877744275112,0.001182847607175752,0.0073526161228649935
K. Boudiaf,Karim Boudiaf,CM,31,72,1871,0,6.186773127923116,-6.1867731279230105,-11.940736632016346,0.0011994244500121846,0.007444379709094278
F. Tănase,Florin Tănase,CF,27,72,1863,0,6.182315597382985,-6.182315597382683,-12.015163856249849,0.014956093157148175,0.09530027027632793
H. Moreno,Héctor Moreno,CB,34,76,1806,0,6.167442062608849,-6.167442062608785,-11.9004890901913,7.062349914648136e-4,0.004351688885846572
G. Þórarinsson,Guðmundur Þórarinsson,CM,30,67,1906,0,6.15904377113063,-6.159043771130529,-11.886408582744235,0.0010634267496656019,0.006539478853197789
I. Ivušić,Ivica Ivušić,GK,27,72,1125,0,6.149583369968036,-6.149583369967902,-11.866750512506107,8.27654053475613e-4,0.005071591069339638
A. Dovbyk,Artem Dovbyk,ST,25,70,1670,0,6.145562126216134,-6.145562126215948,-11.857114100522699,5.113412009807082e-4,0.0031272534387039998
C. McCowatt,Callum McCowatt,CAM,23,65,1783,0,6.1426994533174915,-6.142699453317467,-11.854266438153836,9.624609197849323e-4,0.0058860348551921906
N. Alho,Nikolai Alho,RB,29,66,1830,0,6.117875782961994,-6.117875782961871,-11.809064412049427,0.0014197581046383558,0.008620541256034083
A. Asad,Ali Asad,LW,29,69,1696,0,6.114654363149248,-6.114654363149066,-11.825880963979506,0.005306083396478796,0.03243573772619017
H. Ahmed,Homam Ahmed,LWB,22,68,1700,0,6.111761900961258,-6.111761900961064,-11.805002313172785,0.002728649902353026,0.016578254091882332
