Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
A. Ali,Almoez Ali,ST,25,72,1681,0,6.490343802125618,-6.490343802125619,-13.71695548131814,0.004370624447690075,0.0077192920012802485
T. Vaclík,Tomáš Vaclík,GK,33,80,1309,0,6.46970229524213,-6.469702295242076,-13.674949410500075,0.004606289901154679,0.008087681763283906
Z. Ibrahimović,Zlatan Ibrahimović,ST,40,82,1967,0,6.463545518495163,-6.463545518495176,-13.674012870776263,0.0063637905320243805,0.01119171540067831
F. Helander,Filip Helander,CB,29,72,1510,0,6.4300168034864,-6.430016803486119,-13.580117909339046,0.0030006178514404213,0.005187272979150671
I. Danlad,Ibrahim Danlad,GK,19,68,1021,0,6.411770060005972,-6.411770060005924,-13.544551962548464,0.0034379473013890745,0.005914804286989533
L. Kleinheisler,László Kleinheisler,CAM,28,71,1973,0,6.410676628110326,-6.410676628110226,-13.540998427212998,0.0032548744184712746,0.005595871255888765
J. Brabec,Jakub Brabec,CB,29,74,1826,0,6.377583672659844,-6.377583672659547,-13.456580366084669,0.0011030976798100123,0.0018688693692573914
Joaquín,Joaquín Sánchez Rodríguez,CAM,40,79,1933,0,6.363459754241332,-6.363459754241243,-13.476680579595984,0.008486827090413205,0.014528773650810114
G. Ochoa,Guillermo Ochoa,GK,36,80,1265,0,6.293781774977484,-6.293781774977424,-13.308745992807777,0.0054494926791100505,0.00907025976657858
T. Sainsbury,Trent Sainsbury,CB,30,72,1809,0,6.235899264553699,-6.235899264553413,-13.171996537444558,0.0032810369426622943,0.005337745184245433
J. Fameyeh,Joel Fameyeh,ST,25,69,1636,0,6.232276882584792,-6.232276882584787,-13.155332388130205,0.0019148757205956005,0.003103079365314972
F. Niță,Florin Niță,GK,34,76,1081,0,6.220092721140828,-6.220092721140781,-13.14724637284246,0.004590298341781157,0.007449461311558047
H. Moreno,Héctor Moreno,CB,34,76,1806,0,6.216842429054167,-6.216842429053886,-13.123968203678087,0.0020997400215090785,0.003387076078706277
M. Borjan,Milan Borjan,GK,34,77,1360,0,6.212732031793623,-6.212732031793572,-13.124336713565283,0.0034748335933677816,0.005613279802001884
A. Dovbyk,Artem Dovbyk,ST,25,70,1670,0,6.208821270080831,-6.208821270080823,-13.100258565306842,0.0010670557210179616,0.0017132735885646028
D. Riznyk,Dmytro Riznyk,GK,23,68,1137,0,6.193627857115752,-6.193627857115696,-13.081616258845479,0.003114775528107215,0.004997129768401252
H. Ahmed,Homam Ahmed,LWB,22,68,1700,0,6.181846863724645,-6.181846863724693,-13.096162711804652,0.009108471621535625,0.014734104340689978
I. Ivušić,Ivica Ivušić,GK,27,72,1125,0,6.1812162649395,-6.181216264939447,-13.043233190115183,0.0012538578691660975,0.001996089154638669
A. Ayew,André Ayew,CF,32,75,2053,0,6.176140990594984,-6.176140990595023,-13.55464846363204,0.07671529605480384,0.14267210355585064
B. Al Rawi,Bassam Al Rawi,CB,24,68,1820,0,6.175007956548059,-6.175007956547759,-13.031681922962408,0.0014912945835459917,0.002370438813034366
A. Tagnaouti,Ahmed Reda Tagnaouti,GK,26,71,1144,0,6.156528975024517,-6.1565289750244645,-12.99116591250789,0.001257911892011248,0.0019865950626963575
L. Négo,Loïc Négo,RM,31,72,1926,0,6.137136604526427,-6.137136604526367,-12.969573381613845,0.004232485666152733,0.006681979607637003
A. Talavera,Alfredo Talavera,GK,39,79,1345,0,6.130723565656324,-6.130723565656275,-12.981154480941031,0.00808470520879578,0.012836081349447272
Y. Attiat-Allah,Yahya Attiat-Allah,LB,27,70,1855,0,6.129964019019328,-6.129964019019169,-12.953854905828308,0.0041462822148423005,0.0065294648555094485
G. Þórarinsson,Guðmundur Þórarinsson,CM,30,67,1906,0,6.1222856486133095,-6.12228564861334,-12.925307102449858,0.002246658278475792,0.0035156998696910754
K. Boudiaf,Karim Boudiaf,CM,31,72,1871,0,6.11200668326863,-6.112006683268666,-12.926983902928386,0.005852145062784365,0.009193370045920345
Á. Lang,Ádám Lang,CB,29,70,1618,0,6.111537127991507,-6.1115371279912205,-12.899903931837462,0.0018272447853497772,0.0028469523200300283
A. Hatem,Abdulaziz Hatem,CM,31,71,1893,0,6.100069179374363,-6.100069179374392,-12.885498742710883,0.003345092338683496,0.005208132074812137
M. Waad,Mohammed Waad,CB,22,65,1769,0,6.080892095503425,-6.080892095503129,-12.83726662560457,0.0021454866778994456,0.0033114632630282036
M. Duke,Mitchell Duke,ST,31,67,1832,0,6.057641656750706,-6.0576416567507,-12.799471008382772,0.003904746689754615,0.006001948424114532
